District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Washim,2007 - 2008,"34,600.00","70,500.00",2.04,17.754,38.76,28.456,0,0,0
Washim,2008 - 2009,"16,000.00","19,300.00",1.21,16.966,38.538,28.06,0,0,0
Washim,2009 - 2010,"15,300.00","31,700.00",2.07,17.758,39.246,28.69,0,0,0
Washim,2010 - 2011,"21,900.00","35,200.00",1.61,18.172,38.346,29.074,0,0,0
Washim,2011 - 2012,"20,100.00","24,600.00",1.22,17.824,39.016,28.554,0,0,0
Washim,2012 - 2013,"16,900.00","27,100.00",1.6,16.77,38.87,28.7,0,0,0
Washim,2013 - 2014,"30,900.00","50,200.00",1.62,16.872,37.852,27.952,0,0,0
Washim,2014 - 2015,"30,900.00","40,800.00",1.32,16.506,39.248,28.004,0,0,0
Washim,2015 - 2016,"29,700.00","21,000.00",0.71,16.974,40.132,29.07,0,0,0
Washim,2016 - 2017,"33,700.00","54,200.00",1.61,17.594,38.964,28.39,0,0,0
Washim,2017 - 2018,"9,900.00","12,500.00",1.26,17.186,39.796,28.754,0,0,0
Washim,2018 - 2019,"13,620.00","10,500.00",0.77,17.874,40,29.214,0,0,0
Washim,2019 - 2020,"34,752.00","45,630.00",1.31,17.532,38.514,28.696,0,0,0
Washim,2020 - 2021,"35,972.26","87,004.67",2.42,17.422,37.754,27.992,0,0,0
Washim,2021 - 2022,"36,795.45","72,370.03",1.97,16.94,37.262,27.686,0,0,0
Washim,2022 - 2023,"38,654.02","90,782.83",2.35,17.584,38.628,28.446,0,0,0
Yavatmal,1999 - 2000,"24,200.00","28,800.00",1.19,16.762,40.086,28.59,0,0,0
Yavatmal,2000 - 2001,"17,100.00","18,900.00",1.11,17.256,40.23,29.074,0,0,0
Yavatmal,2001 - 2002,"17,100.00","19,600.00",1.15,18.822,39.83,29.002,0,0,0
Yavatmal,2002 - 2003,"17,600.00","18,600.00",1.06,19.256,40.538,30.09,0,0,0
Yavatmal,2003 - 2004,"17,600.00","20,800.00",1.18,17.7,38.82,28.876,0,0,0
Yavatmal,2004 - 2005,"5,100.00","5,000.00",0.98,18.384,39.616,28.93,0,0,0
Yavatmal,2005 - 2006,"15,900.00","15,800.00",0.99,17.582,37.574,27.748,0,0,0
Yavatmal,2006 - 2007,"33,100.00","37,600.00",1.14,17.816,38.308,27.91,0,0,0
Yavatmal,2007 - 2008,"45,600.00","82,200.00",1.8,18.254,39.208,28.942,0,0,0
Yavatmal,2008 - 2009,"38,000.00","41,200.00",1.08,17.542,38.964,28.592,0,0,0
Yavatmal,2009 - 2010,"18,000.00","20,000.00",1.11,18.418,39.81,29.252,0,0,0
Yavatmal,2010 - 2011,"41,700.00","61,400.00",1.47,18.712,38.744,29.538,0,0,0
Yavatmal,2011 - 2012,"34,100.00","58,500.00",1.72,18.552,39.584,29.102,0,0,0
Yavatmal,2012 - 2013,"36,100.00","64,600.00",1.79,17.348,39.202,29.152,0,0,0
Yavatmal,2013 - 2014,"34,500.00","30,700.00",0.89,17.362,38.25,28.292,0,0,0
Yavatmal,2014 - 2015,"29,100.00","26,800.00",0.92,17.382,39.71,28.434,0,0,0
Yavatmal,2015 - 2016,"35,600.00","37,600.00",1.06,18.036,40.518,29.652,0,0,0
Yavatmal,2016 - 2017,"60,200.00","77,900.00",1.29,18.106,38.88,28.65,0,0,0
Yavatmal,2017 - 2018,"12,800.00","13,000.00",1.02,17.404,39.786,28.866,0,0,0
Yavatmal,2018 - 2019,"34,613.25","32,500.00",0.94,18.098,40.212,29.418,0,0,0
Yavatmal,2019 - 2020,"45,633.00","55,276.00",1.21,18.262,38.654,29.026,0,0,0
Yavatmal,2020 - 2021,"48,889.86","69,842.26",1.43,18.26,37.762,28.296,0,0,0
Yavatmal,2021 - 2022,"48,889.84","95,659.82",1.96,17.512,37.738,28.24,0,0,0
Yavatmal,2022 - 2023,"54,634.88","55,339.67",1.01,18.246,39.196,28.984,0,0,0
