District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Parbhani,2014 - 2015,"4,200.00",400,0.1,20.118,36.202,27.308,15.908,3.306,4.498,,,
Parbhani,2015 - 2016,"4,600.00",800,0.17,20.998,36.702,27.714,15.97,2.694,4.172,,,
Parbhani,2016 - 2017,"2,540.00","1,170.00",0.46,19.912,34.072,26.1,16.45,4.216,4.46,,,
Parbhani,2017 - 2018,"1,350.00",489,0.36,20.258,35.27,26.89,17.044,4.34,3.992,,,
Parbhani,2018 - 2019,456,279,0.61,20.224,35.504,26.672,15.6,2.948,4.656,,,
Parbhani,2019 - 2020,596,279,0.47,21.274,34.632,27.132,17.108,5.22,4.402,,,
Parbhani,2020 - 2021,596.36,374.62,0.63,20.85,33.022,26.212,17.96,6.17,3.752,,,
Parbhani,2021 - 2022,641.32,318.54,0.5,20.002,32.554,25.812,17.63,5.696,3.892,,,
Parbhani,2022 - 2023,84,30,0.36,19.868,34.048,25.9,17.304,6.096,4.004,,,
Pune,1999 - 2000,"1,59,900.00","1,18,100.00",0.74,18.748,31.922,24.26,15.472,3.048,5.106,,,
Pune,2000 - 2001,"1,60,400.00","1,04,600.00",0.65,19.076,32.018,24.55,15.492,3.25,4.578,,,
Pune,2001 - 2002,"1,13,200.00","85,600.00",0.76,19.056,31.86,24.376,15.578,3.488,5.03,,,
Pune,2002 - 2003,"1,23,900.00","86,500.00",0.7,19.126,33.666,24.924,15.224,3.064,5,,,
Pune,2003 - 2004,"97,000.00","67,600.00",0.7,19.31,33.112,24.94,15.48,2.618,5.024,,,
Pune,2004 - 2005,"1,16,800.00","84,800.00",0.73,19.07,31.098,24.142,15.804,3.848,4.902,,,
Pune,2005 - 2006,"1,25,300.00","90,400.00",0.72,19.332,31.774,24.392,16.378,5.558,4.972,,,
Pune,2006 - 2007,"1,28,900.00","81,300.00",0.63,19.606,30.464,24.21,16.41,5.036,4.828,,,
Pune,2007 - 2008,"1,12,700.00","98,200.00",0.87,19.288,31.364,24.46,16.124,4.292,4.586,,,
Pune,2008 - 2009,"34,500.00","27,000.00",0.78,18.74,32.016,24.234,15.572,3.712,4.75,,,
Pune,2009 - 2010,"46,000.00","33,900.00",0.74,19.474,31.9,24.82,15.776,3.798,4.93,,,
Pune,2010 - 2011,"48,600.00","43,000.00",0.88,19.25,31.34,24.598,16.764,4.754,4.38,,,
Pune,2011 - 2012,"50,700.00","40,700.00",0.8,19.32,30.992,24.37,16.09,3.8,4.994,,,
Pune,2012 - 2013,"36,000.00","16,700.00",0.46,18.886,32.63,24.862,15.48,2.976,5.134,,,
Pune,2013 - 2014,"49,800.00","41,600.00",0.84,19.322,31.3,24.148,16.422,4.14,5.042,,,
Pune,2014 - 2015,"31,500.00","26,300.00",0.83,19.538,34.032,25.238,15.354,3.172,4.936,,,
Pune,2015 - 2016,"41,400.00","29,400.00",0.71,19.72,33.832,25.342,15.42,3.05,4.592,,,
Pune,2016 - 2017,"30,400.00","22,200.00",0.73,18.902,31.556,24.168,15.728,4.134,4.816,,,
Pune,2017 - 2018,"32,000.00","23,100.00",0.72,19.338,31.954,24.74,16.218,4.542,4.494,,,
Pune,2018 - 2019,"32,320.00","37,855.00",1.17,19.042,32.308,24.714,14.766,2.198,5.196,,,
Pune,2019 - 2020,"39,670.00","52,135.00",1.31,20.06,32.584,24.97,16.38,4.064,5.032,,,
Pune,2020 - 2021,"42,418.41","70,975.25",1.67,19.65,30.694,24.614,17.376,6.614,3.992,,,
Pune,2021 - 2022,"38,326.07","64,156.45",1.67,19.498,30.774,24.42,16.644,4.496,4.45,,,
Pune,2022 - 2023,"33,942.00","54,931.00",1.62,19.034,31.71,24.298,16.408,5.362,4.552,,,
Sangli,1999 - 2000,"1,02,600.00","56,400.00",0.55,18.854,33.126,24.724,15.654,3.216,5.786,,,
Sangli,2000 - 2001,"1,05,300.00","44,600.00",0.42,19.232,32.764,24.756,15.684,3.644,5.238,,,
Sangli,2001 - 2002,"42,500.00","7,600.00",0.18,19.002,33.122,24.822,15.422,2.746,5.99,,,
Sangli,2002 - 2003,"64,400.00","9,500.00",0.15,19.524,34.458,25.472,15.508,2.62,5.782,,,
