District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Bhandara,2004 - 2005,"1,000.00","58,500.00",58.5,15.815,35.035,24.811,0,0,0
Bhandara,2005 - 2006,500,"19,000.00",38,15.43,34.287,24.719,0,0,0
Bhandara,2006 - 2007,"1,600.00","90,100.00",56.31,16.257,34.571,25.09,0,0,0
Bhandara,2007 - 2008,"1,800.00","84,600.00",47,16.305,34.549,24.89,0,0,0
Bhandara,2008 - 2009,"2,500.00","1,14,900.00",45.96,15.368,34.151,24.632,0,0,0
Bhandara,2009 - 2010,"1,200.00","54,900.00",45.75,16.625,35.156,25.821,0,0,0
Bhandara,2010 - 2011,"1,100.00","59,600.00",54.18,16.528,34.165,25.503,0,0,0
Bhandara,2011 - 2012,"3,000.00","2,31,700.00",77.23,15.898,34.304,24.705,0,0,0
Bhandara,2012 - 2013,"2,900.00","1,91,300.00",65.97,14.501,34.617,24.785,0,0,0
Bhandara,2013 - 2014,600,"36,100.00",60.17,15.745,33.43,24.448,0,0,0
Bhandara,2014 - 2015,"6,700.00","4,90,800.00",73.25,15.548,35.152,24.939,0,0,0
Bhandara,2015 - 2016,"4,400.00","2,94,500.00",66.93,15.737,34.621,25.116,0,0,0
Bhandara,2016 - 2017,"4,210.00","2,85,300.00",67.77,16.082,34.601,25.081,0,0,0
Bhandara,2017 - 2018,"3,574.00","2,32,300.00",65,16.065,35.188,25.217,0,0,0
Bhandara,2018 - 2019,"4,208.00","2,82,104.00",67.04,16.108,34.688,24.989,0,0,0
Bhandara,2019 - 2020,"3,450.00","2,37,498.00",68.84,15.49,34.187,24.85,0,0,0
Bhandara,2020 - 2021,"4,850.00","2,71,041.54",55.88,15.402,32.775,23.962,0,0,0
Bhandara,2021 - 2022,"2,338.00","1,58,470.32",67.78,15.644,34.039,24.862,0,0,0
Bhandara,2022 - 2023,"3,918.00","1,21,458.00",31,15.471,33.82,24.431,0,0,0
Buldhana,1999 - 2000,"1,000.00","94,600.00",94.6,15.224,34.707,24.354,11.308,2.478,3.572
Buldhana,2000 - 2001,"1,200.00","1,03,600.00",86.33,15.537,35.82,25.126,10.036,2.085,3.594
Buldhana,2001 - 2002,"1,100.00","89,400.00",81.27,15.514,35.572,25.086,11.036,2.264,3.547
Buldhana,2002 - 2003,"1,300.00","84,000.00",64.62,15.932,36.118,25.626,10.549,2.126,3.759
Buldhana,2003 - 2004,"1,000.00","69,200.00",69.2,15.63,35.002,25.044,11.523,2.249,3.726
Buldhana,2004 - 2005,700,"57,100.00",81.57,15.727,35.382,25.326,11.093,2.071,3.542
Buldhana,2005 - 2006,300,"11,600.00",38.67,15.392,34.729,24.75,11.637,3.196,3.642
Buldhana,2006 - 2007,"1,400.00","95,200.00",68,16.38,34.054,24.874,12.369,3.959,3.39
Buldhana,2007 - 2008,"2,800.00","1,65,300.00",59.04,15.968,34.744,24.993,11.742,2.659,3.355
Buldhana,2008 - 2009,"2,200.00","1,22,900.00",55.86,15.308,35.405,25.247,11.168,2.018,3.444
Buldhana,2009 - 2010,"1,400.00","97,400.00",69.57,16.353,35.507,25.738,11.691,2.582,3.495
Buldhana,2010 - 2011,"1,000.00","61,000.00",61,16.543,34.007,25.182,13.006,3.338,3.309
Buldhana,2011 - 2012,300,"17,500.00",58.33,16.042,34.718,24.802,11.623,2.475,3.434
Buldhana,2012 - 2013,100,"4,400.00",44,14.777,34.858,24.809,11.192,2.355,3.634
Buldhana,2013 - 2014,100,"8,100.00",81,15.401,33.555,24.329,12.448,3.197,3.698
Buldhana,2014 - 2015,300,"18,700.00",62.33,15.517,35.676,25.241,11.885,2.222,3.699
Buldhana,2015 - 2016,300,"15,000.00",50,15.309,35.627,25.312,11.636,2.691,3.441
Buldhana,2016 - 2017,535,"35,700.00",66.73,15.769,34.848,24.906,11.272,2.956,3.466
Buldhana,2017 - 2018,257,"12,900.00",50.19,15.499,34.985,25.03,11.509,2.736,3.355
Buldhana,2018 - 2019,311,"13,995.00",45,16.02,35.644,25.277,10.656,2.423,3.504
Buldhana,2019 - 2020,397,"27,731.00",69.85,15.311,34.07,24.713,12.326,3.254,3.646
Buldhana,2022 - 2023,"1,092.00","63,237.72",57.91,15.219,33.672,24.178,12.681,3.574,3.354
Chandrapur,2014 - 2015,100,"9,000.00",90,17.078,35.65,25.846,0,0,0
Chandrapur,2015 - 2016,100,"6,900.00",69,17.294,35.56,26.203,0,0,0
Chandrapur,2016 - 2017,50,"2,000.00",40,17.314,34.953,25.581,0,0,0
Chandrapur,2017 - 2018,26,"1,300.00",50,17.034,35.004,25.516,0,0,0
Chandrapur,2018 - 2019,64,"3,840.00",60,16.9,35.183,25.663,0,0,0
Chandrapur,2022 - 2023,18,"1,080.00",60,16.417,34.475,25.347,0,0,0
 Dhule,1999 - 2000,"5,600.00","4,52,000.00",80.71,0,0,0,0,0,0
 Dhule,2000 - 2001,"5,300.00","3,81,600.00",72,0,0,0,0,0,0
 Dhule,2001 - 2002,"4,400.00","2,81,900.00",64.07,0,0,0,0,0,0
 Dhule,2002 - 2003,"4,800.00","2,92,000.00",60.83,0,0,0,0,0,0
 Dhule,2003 - 2004,"5,000.00","3,11,600.00",62.32,0,0,0,0,0,0
 Dhule,2004 - 2005,"3,500.00","2,05,700.00",58.77,0,0,0,0,0,0
 Dhule,2005 - 2006,"5,700.00","3,55,000.00",62.28,0,0,0,0,0,0
 Dhule,2006 - 2007,"9,700.00","6,27,700.00",64.71,0,0,0,0,0,0
 Dhule,2007 - 2008,"12,800.00","8,20,100.00",64.07,0,0,0,0,0,0
 Dhule,2008 - 2009,"7,900.00","4,42,800.00",56.05,0,0,0,0,0,0
 Dhule,2009 - 2010,"4,600.00","3,50,400.00",76.17,0,0,0,0,0,0
 Dhule,2010 - 2011,"5,300.00","4,42,600.00",83.51,0,0,0,0,0,0
 Dhule,2011 - 2012,"5,200.00","3,59,600.00",69.15,0,0,0,0,0,0
 Dhule,2012 - 2013,"5,300.00","4,34,100.00",81.91,0,0,0,0,0,0
 Dhule,2013 - 2014,"6,500.00","5,36,900.00",82.6,0,0,0,0,0,0
 Dhule,2014 - 2015,"7,000.00","4,38,400.00",62.63,0,0,0,0,0,0
 Dhule,2015 - 2016,"2,100.00","1,54,000.00",73.33,0,0,0,0,0,0
 Dhule,2016 - 2017,"4,508.00","5,22,400.00",115.88,0,0,0,0,0,0
 Dhule,2017 - 2018,"2,501.00","1,99,200.00",79.65,0,0,0,0,0,0
 Dhule,2018 - 2019,"2,924.00","2,04,680.00",70,0,0,0,0,0,0
 Dhule,2021 - 2022,"4,000.00","3,73,437.61",93.36,0,0,0,0,0,0
 Dhule,2022 - 2023,"4,381.00","3,94,290.00",90,0,0,0,0,0,0
Gadchiroli,2014 - 2015,100,"9,900.00",99,15.627,34.506,24.447,0,0,0
Gadchiroli,2015 - 2016,100,"4,600.00",46,15.873,34.286,24.753,0,0,0
Gadchiroli,2018 - 2019,15,"1,009.00",67.27,15.997,34.287,24.512,0,0,0
Gadchiroli,2019 - 2020,14,949,67.79,16.215,33.911,24.608,0,0,0
