District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Bhandara,2007 - 2008,"1,76,900.00","3,17,400.00",1.79,16.16,34.134,24.39,0,0,0
Bhandara,2008 - 2009,"1,75,100.00","1,26,200.00",0.72,15.94,34.29,24.446,0,0,0
Bhandara,2009 - 2010,"1,75,200.00","1,74,800.00",1,16.076,34.082,25.248,0,0,0
Bhandara,2010 - 2011,"1,81,500.00","2,58,800.00",1.43,16.946,33.394,25.28,0,0,0
Bhandara,2011 - 2012,"1,80,300.00","3,08,200.00",1.71,16.62,34.624,24.72,0,0,0
Bhandara,2012 - 2013,"1,77,200.00","3,60,500.00",2.03,15.344,34.8,24.662,0,0,0
Bhandara,2013 - 2014,"1,86,200.00","3,03,500.00",1.63,16.306,32.568,23.72,0,0,0
Bhandara,2014 - 2015,"1,88,600.00","3,05,400.00",1.62,16.33,36.42,25.486,0,0,0
Bhandara,2015 - 2016,"1,80,200.00","2,68,000.00",1.49,17.304,34.96,25.648,0,0,0
Bhandara,2016 - 2017,"1,68,400.00","3,46,800.00",2.06,16.018,33.596,24.248,0,0,0
Bhandara,2017 - 2018,"1,64,700.00","2,00,900.00",1.22,16.51,34.648,25.006,0,0,0
Bhandara,2018 - 2019,"1,65,010.00","3,51,437.00",2.13,15.928,34.348,24.842,0,0,0
Bhandara,2019 - 2020,"1,77,510.00","2,88,254.00",1.62,16.566,33.538,25.176,0,0,0
Bhandara,2020 - 2021,"1,77,821.85","3,59,897.03",2.02,15.806,32.586,24.16,0,0,0
Bhandara,2021 - 2022,"1,76,994.98","3,59,581.76",2.03,15.34,33.178,24.332,0,0,0
Bhandara,2022 - 2023,"1,77,018.89","3,78,850.48",2.14,16.112,33.694,24.516,0,0,0
Buldhana,1999 - 2000,200,100,0.5,15.212,33.772,23.81,12.532,2.704,3.804
Buldhana,2000 - 2001,200,200,1,16.654,35.954,25.844,10.766,1.88,3.654
Buldhana,2001 - 2002,200,200,1,15.784,35.016,24.724,12.454,2.258,3.872
Buldhana,2002 - 2003,100,100,1,16.744,36.532,26.358,11.366,1.982,3.84
Buldhana,2016 - 2017,10,4,0.4,15.88,34.298,24.196,12.32,3.86,3.51
Chandrapur,1999 - 2000,"1,40,600.00","2,11,500.00",1.5,16.338,34.394,24.728,0,0,0
Chandrapur,2000 - 2001,"1,44,800.00","1,19,200.00",0.82,17.168,34.868,25.386,0,0,0
Chandrapur,2001 - 2002,"1,52,700.00","2,20,500.00",1.44,16.766,34.774,25.074,0,0,0
Chandrapur,2002 - 2003,"1,42,100.00","1,08,300.00",0.76,17.85,35.824,26.134,0,0,0
Chandrapur,2003 - 2004,"1,42,700.00","2,06,900.00",1.45,17.48,34.202,25.102,0,0,0
Chandrapur,2004 - 2005,"1,42,500.00","1,07,200.00",0.75,17.198,34.172,25.056,0,0,0
Chandrapur,2005 - 2006,"1,30,500.00","2,06,400.00",1.58,16.776,33.574,24.626,0,0,0
Chandrapur,2006 - 2007,"1,36,300.00","1,88,700.00",1.38,18.118,33.698,25.47,0,0,0
Chandrapur,2007 - 2008,"1,61,300.00","2,51,700.00",1.56,16.92,34.392,24.812,0,0,0
Chandrapur,2008 - 2009,"1,57,700.00","1,33,700.00",0.85,16.9,34.39,25.214,0,0,0
Chandrapur,2009 - 2010,"1,12,600.00","69,700.00",0.62,17.074,34.888,25.76,0,0,0
Chandrapur,2010 - 2011,"1,14,300.00","1,60,100.00",1.4,17.794,34.01,25.582,0,0,0
Chandrapur,2011 - 2012,"1,58,100.00","1,99,900.00",1.26,17.884,35.356,25.876,0,0,0
Chandrapur,2012 - 2013,"1,58,200.00","2,50,500.00",1.58,16.116,34.972,25.24,0,0,0
Chandrapur,2013 - 2014,"1,60,200.00","2,11,300.00",1.32,16.78,31.86,24.118,0,0,0
Chandrapur,2014 - 2015,"1,41,800.00","1,06,700.00",0.75,17.07,36.446,26.092,0,0,0
Chandrapur,2015 - 2016,"1,37,400.00","1,13,200.00",0.82,18.316,35.682,26.5,0,0,0
Chandrapur,2016 - 2017,"1,36,400.00","2,34,000.00",1.72,17.008,33.612,24.398,0,0,0
Chandrapur,2017 - 2018,"1,29,400.00","92,700.00",0.72,16.956,33.878,24.868,0,0,0
Chandrapur,2018 - 2019,"1,32,251.00","2,32,195.00",1.76,16.826,34.956,25.5,0,0,0
Chandrapur,2019 - 2020,"1,38,598.00","1,93,610.00",1.4,18.614,34.094,25.886,0,0,0
